Genus Name	Species Name	Synonym	Family	Order	Class	Common Name	Species Code	Growth Form	Percent Leaf Type	Leaf Type	Growth Rate	Longevity	Height at Maturity (feet)
Bobea	timonioides		Rubiaceae	Rubiales	Asteridae	'ahakea	BOTI	Tree	Hardwood	Evergreen			25
Bocconia	frutescens		Papaveraceae	Papaverales	Magnoliidae	Parrotweed	BOFR2	Shrub or small tree	Hardwood	Evergreen	Fast		20
Boehmeria	caudata		Urticaceae	Urticales	Hamamelidae	Boehmeria caudata	BOCA	Shrub or small tree	Hardwood	Evergreen			
Bolusanthus	speciosus		Fabaceae	Fabales	Rosidae	Tree wisteria	BOSP8	Tree	Hardwood	Evergreen			
Bombax	ceiba		Malvaceae	Malvales	Dilleniidae	Red-silk cotton	BOCE	Tree	Hardwood	Deciduous	Fast	Long	20
Bontia	daphnoides		Myoporaceae	Scrophulariales	Asteridae	White alling	BODA	Shrub or small tree	Hardwood	Evergreen	Moderate	Short	11
Borassus	aethiopium		Araliaceae	Apiales	Rosidae	African fan palm	BOAE	Palm	Palm	Evergreen	Slow	Short	27
Borrichia	arborescens	Buphthalmum arborescens	Asteraceae	Asterales	Asteridae	Tree seaside tansy	BOAR2	Shrub	Hardwood	Evergreen			
Bouchea	spathulata		Verbenaceae	Lamiales	Asteridae	Spoonleaf	BOSP2	Shrub	Hardwood	Evergreen			
Bougainvillea	glabra		Nyctaginaceae	Caryophyllales	Caryophyllidae	Paperflower	BOGL4	Vine	Hardwood	Evergreen			
Bougainvillea	spectabilis		Nyctaginaceae	Caryophyllales	Caryophyllidae	Great bougainvillea	BOSP	Vine	Hardwood	Evergreen			
Bourreria	cassinifolia		Boraginaceae	Lamiales	Asteridae	Smooth strongbark	BOCA4	Shrub or small tree	Hardwood	Deciduous			
Bourreria	radula	"Bourreria revoluta, Bourreria succulenta var. revoluta"	Boraginaceae	Lamiales	Asteridae	Rough strongbark	BORA2	Shrub or small tree	Hardwood	Deciduous			
Bourreria	succulenta	"Bourreria ovata, Bourreria domingensis"	Boraginaceae	Lamiales	Asteridae	Bahama strongback	BOOV	Shrub	Hardwood	Evergreen			
Bourreria	virgata		Boraginaceae	Lamiales	Asteridae	Roble de guayo	BOVI2	Shrub or small tree	Hardwood	Evergreen	Slow		30
Bouvardia	ternifolia	Bouvardia glaberrima	Rubiaceae	Rubiales	Asteridae	Firecrackerbush	BOTE2	Shrub	Hardwood	Evergreen			
Brachychiton	acerifolius		Sterculiaceae	Malvales	Dilleniidae	Illwarra Flame Tree	BRAC2	Tree	Hardwood	Deciduous	Fast		93
Brachychiton	bidwillii		Sterculiaceae	Malvales	Dilleniidae	Little Kurrajong	BRBI	Shrub or small tree	Hardwood	Deciduous	Moderate	Moderate	16
Brachychiton	discolor		Sterculiaceae	Malvales	Dilleniidae	Lacebark	BRDI	Tree	Hardwood	Deciduous	Moderate	Long	82
Brachychiton	diversifolius		Sterculiaceae	Malvales	Dilleniidae	Northern Kurrajong	BRDI1	Tree	Hardwood	Semi-Evergreen	Slow	Long	15
Brachychiton	gregorii		Sterculiaceae	Malvales	Dilleniidae	Desert Kurrajong	BRGR	Shrub or small tree	Hardwood	Evergreen	Fast	Long	8
Brachychiton	occulneuem		Sterculiaceae	Malvales	Dilleniidae	Bottle tree	BROC	Unknown	Hardwood	Deciduous	Fast		38
Brachychiton	populneus		Sterculiaceae	Malvales	Dilleniidae	Kurrajong	BRPO	Tree	Hardwood	Evergreen	Fast		93
Brachychiton	rupestris		Sterculiaceae	Malvales	Dilleniidae	Brachichiton rupestris	BRRU	Tree	Hardwood	Deciduous	Moderate	Long	33
Brahea	armata		Arecaceae	Arecales	Arecidae	Mexican blue palm	BRAR	Palm	Palm	Evergreen	Slow	Long	30
Brahea	brandegeei		Arecaceae	Arecales	Arecidae	San jose hesper palm	BRBR	Palm	Palm	Evergreen	Moderate		45
Brahea	edulis		Arecaceae	Arecales	Arecidae	Guadalupe palm	BRED	Palm	Palm	Evergreen	Moderate		30
Breynia	disticha	"Breynia nivosa, Phyllanthus nivosus"	Euphorbiaceae	Euphorbiales	Rosidae	Snowbush	BRDI8	Shrub	Hardwood	Evergreen			
Brighamia	insignis	"Brighamia citrina var. napaliensis, Brighamia citrina"	Campanulaceae	Campanulales	Asteridae	Cabbage on a stick	BRIN4	Shrub	Hardwood	Deciduous			
Brighamia	rockii	Brighamia remyi	Campanulaceae	Campanulales	Asteridae	Molokai ohaha	BRRO	Shrub	Hardwood	Deciduous			
Brongniartia	minutifolia		Fabaceae	Fabales	Rosidae	Littleleaf greentwig	BRMI4	Shrub	Hardwood	Deciduous			
Brosimum	alicastrum		Moraceae	Urticales	Hamamelidae	Breadnut	BRAL3	Tree	Hardwood	Evergreen			130
Brosimum	guianense		Moraceae	Urticales	Hamamelidae	bastard breadnut	BRGU	Tree	Hardwood	Evergreen			
Broussaisia	arguta	Broussaisia arguta var. pellucida	Hydrangeaceae	Rosales	Rosidae	Kanawao	BRAR6	Shrub or small tree	Hardwood	Evergreen			15
Broussonetia	papyrifera	"Morus papyrifera, Papyrius papyriferus"	Moraceae	Urticales	Hamamelidae	Paper mulberry	BRPA	Tree	Hardwood	Deciduous	Fast		38
Brownea	grandiceps		Fabaceae	Fabales	Rosidae	Rose of Venezuela	BRGR1	Tree	Hardwood	Evergreen			66
Brucea	antidysenterica		Solanaceae	Solanales	Asteridae	Waginos	BRAN	Tree	Hardwood	Evergreen	Fast	Moderate	45
Brugmansia	candida	"Datura candida, Brugmansia arborea, Datura arborea"	Solanaceae	Solanales	Asteridae	Angel's-trumpet	BRCA12	Shrub or small tree	Hardwood	Evergreen	Moderate		16
Brugmansia	sanguinea		Solanaceae	Solanales	Asteridae	Floripondio	BRSA	Shrub	Hardwood	Evergreen	Fast	Moderate	6
Brugmansia	suaveolens	Datura suaveolens	Solanaceae	Solanales	Asteridae	Angel's-tears	BRSU3	Shrub or small tree	Hardwood	Evergreen	Moderate	Short	16
Bruguiera	gymnorhiza	Bruguiera sexangula	Rhizophoraceae	Rhizophorales	Rosidae	Oriental mangrove	BRGY	Tree	Hardwood	Evergreen			
Bruguiera	parviflora		Rhizophoraceae	Rhizophorales	Rosidae	Smallflower bruguiera	BRPA15	Tree	Hardwood	Evergreen			
Brunellia	comocladiifolia		Brunelliaceae	Rosales	Rosidae	West indian sumac	BRCO6	Tree	Hardwood	Evergreen			20
